 Subject , Time , Location , Cost , Organizer Ranking , Past Events Ranking , Activity 1 , Activity 2 , Interactive , Food/Drink , Est. Attendees , Demographics ,
 Pride Festival , Sat 10am-8pm , Downtown Streets , Free , 10/10 , 9/10 , Music , Networking , Yes , Yes ,20000, LGBTQ+ community ,
 Halloween Festival , Sat 12pm-9pm , Park Grounds , $20 , 6/10 , 7/10 , Art , Rides , Yes , Yes ,3000, Families , 
 Food Truck Festival , Sun 12pm-10pm , Beach Park , Free , 5/10 , 4/10 , Food , Music , Yes , Yes ,1000, Beachgoers ,
 Arts Festival , Fri 5pm-11pm , Downtown Streets , Free , 8/10 , 7/10 , Art , Music , Yes , Yes ,5000, Artists ,
 Festival , Sat 11am-8pm , Park Grounds , $15 , 7/10 , 5/10 , Music , Food , Yes , Yes ,2500, 20-30 somethings ,
 Job Fair , Wed 9am-4pm , Convention Center , Free , 6/10 , 5/10 , Networking , Learning , Yes , No ,1000, College students ,
 AI Ethics Conference , Fri 9am-5pm , NYC Conference Center , $75 , 8/10 , 7/10 , Learning , Networking , Yes , Yes ,500," Academics, ethicists ",
 Robotics Expo , Sat 10am-6pm , San Diego Convention Center , $20 , 9/10 , 8/10 , Learning , Shopping , Yes , No ,2500," Engineers, hobbyists ",
 AI in Healthcare Symposium , Mon 8am-5pm , Houston Medical Center , $100 , 7/10 , 6/10 , Learning , Networking , Yes , Yes ,400, Healthcare professionals ,
 Machine Learning Conference , Thurs 9am-4pm , Online , Free , 8/10 , 7/10 , Learning , Networking , Yes , No ,800, Data scientists ,
 AI Career Fair , Tues 1pm-6pm , Silicon Valley , Free , 6/10 , 5/10 , Networking , Learning , Yes , No ,1000, Tech professionals ,
 Robotic Art Exhibit , Fri 6pm-9pm , Modern Art Museum , $15 , 9/10 , 8/10 , Art , Drinks , Yes , Yes ,500, Artsy techies ,
 AI Film Festival , Sat 12pm-10pm , Indie Theater , $10 , 7/10 , 6/10 , Film , Networking , No , Yes ,100, Cinephiles ,
 Autonomous Vehicles Demo Day , Wed 10am-3pm , Convention Center , Free , 8/10 , 7/10 , Learning , Test drives , Yes , No ,300, Auto enthusiasts ,
 Women in AI Summit , Sat 9am-5pm , University Campus , $50 , 10/10 , 8/10 , Networking , Learning , Yes , Yes ,400, Women in tech ,
 AI Startup Pitch Event , Thurs 6pm-9pm , incubator office , Free , 5/10 , 3/10 , Networking , Pitches , Yes , Yes ,150," Investors, entrepreneurs ",
 Machine Learning Workshop , Sat 10am-6pm , HackerSpace , $25 , 7/10 , 6/10 , Learning , Hands-on , Yes , Yes ,40," Coders, tinkerers ",
 AI Book Club , Wed 7pm-9pm , Library , Free , 4/10 , 3/10 , Learning , Discussing , Yes , No ,12, Bookworms ,
 Data Science Conference , Mon 9am-5pm , Convention Center , $150 , 10/10 , 9/10 , Learning , Networking , Yes , Yes ,1200, Data scientists ,
 AI Trivia Night , Tues 7pm-10pm , Tech Hub , Free , 6/10 , 5/10 , Networking , Games , Yes , Yes ,75, Techies ,
 Chatbot Comedy Show , Fri 8pm-11pm , Comedy Club , $15 , 7/10 , 5/10 , Comedy , Drinks , No , Yes ,150, Tech professionals ,
 Robot Art Workshop , Sat 11am-2pm , Makerspace , $40 , 4/10 , 3/10 , Creating , Learning , Yes , No ,20, Hobbyists ,
 AI Podcast Live Recording , Wed 8pm-10pm , Podcast Studio , $10 , 3/10 , 2/10 , Listening , Drinks , No , Yes ,50, Techies ,
 Reinforcement Learning Study Group , Sun 2pm-5pm , University , Free , 2/10 , 1/10 , Learning , Problem solving , Yes , No ,8," Students, academics ",
 AI Investor Panel , Thurs 7pm-10pm , Hotel Ballroom , $50 , 8/10 , 6/10 , Networking , Listening , No , Yes ,250, Investors ,
